Title,Genre,Languages,Series or Movie,Runtime,View Rating,IMDb Score,Rotten Tomatoes Score,Boxoffice
Storage 24,"Action, Horror, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,R,4.5,,$72 
Realms,"Horror, Mystery",English,Movie,1-2 hour,R,3.6,,$147 
2:22,"Drama, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,5.8,22,$422 
Two English Girls,"Drama, Romance","French, English",Movie,> 2 hrs,,7.3,87,$509 
The 400 Blows,"Crime, Drama","French, English",Movie,1-2 hour,Not Rated,8.1,100,$509 
Stolen Kisses,"Comedy, Drama, Romance","French, English",Movie,1-2 hour,R,7.7,96,$509 
The Woman Next Door,"Drama, Romance","English, French",Movie,1-2 hour,R,7.3,85,$509 
The Soft Skin,"Drama, Romance","French, Portuguese, English",Movie,1-2 hour,Not Rated,7.5,89,$509 
Fahrenheit 451,"Drama, Sci-Fi",English,Movie,1-2 hour,Not Rated,7.2,81,$509 
Love on the Run,"Comedy, Drama, Romance",French,Movie,1-2 hour,PG,7.1,58,$509 
Confidentially Yours,"Comedy, Crime, Mystery, Thriller","Albanian, French",Movie,1-2 hour,PG,7.2,78,$509 
Jules and Jim,"Drama, Romance","French, German, English",Movie,1-2 hour,Not Rated,7.8,93,$509 
Hammer of the Gods,"Action, History, Horror",English,Movie,1-2 hour,R,4.5,29,$641 
Amityville: The Awakening,"Horror, Thriller",English,Movie,1-2 hour,PG-13,4.8,30,$742 
[REC] 4: Apocalipsis,"Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller",Spanish,Movie,1-2 hour,R,5.3,68,$837 
Its a Boy Girl Thing,"Comedy, Fantasy, Romance",English,Movie,1-2 hour,PG-13,6.3,67,$848 
Le talent de mes amis,Comedy,French,Movie,1-2 hour,Not Rated,5.1,,$889 
Gangsterdam,"Action, Adventure, Comedy, Crime",French,Movie,1-2 hour,,4.5,,$954 
Khumba,"Animation, Adventure, Family",English,Movie,1-2 hour,Not Rated,5.7,44,"$1,029 "
Prêt à tout,"Comedy, Romance",French,Movie,1-2 hour,,5.4,14,"$1,092 "
